University Library (OV),Redwood Hall (RE),University Student Union (USU),Campus Store Complex (CSC),Jacaranda Hall (JD),Sierra Hall (SH),Parking Lot B1 (PL:B1),Parking Lot and Structure B3 (PLPS:B3),Parking Lot B4 (PL:B4),Parking Lot and Structure B5 (PLPS:B5),Parking Lot B6 (PL:B6),Parking Lots C6 and D6 (PL:C6D6),Parking Lot F5 (PL:F5),Parking Structure G3 (PS:G3),Parking Structure G6 (PS:G6)
36.78,43.15,4.67,14.5,52.44,7.9,413.325625,654.520625,244.658047,506.905313,356.780531,173.927281,282.2155,308.636813,353.19025
30.3,36.07,4.21,11.7,43.24,4.21,302.429781,507.827375,173.000891,385.778469,262.046938,129.240133,193.712063,241.709094,270.447031
19.53,23.97,3.11,7.66,28.77,3.3,153.285234,294.842906,85.6020938,222.155469,137.319234,71.0896797,91.1577656,145.218313,158.656766
6.72,9.34,1.46,2.9,9.82,1.83,8.91695996,35.9100703,8.11580371,21.3766074,10.6931318,5.71736768,8.06399365,16.7690918,15.4803184
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.11,9.81,1.32,3.93,11,1.92,31.7654141,26.9854883,14.4887168,36.6869023,13.086334,12.0424492,10.2783809,14.883376,26.8958613
20.38,26.14,2.31,8.23,31.03,3.33,182.407594,180.473672,83.7112344,216.759406,98.4081406,70.7468047,84.9251641,102.895305,148.125875
30.21,39.96,4.02,11.36,46.12,4.34,332.311313,406.139344,172.422969,389.091594,228.513375,135.169344,182.026188,208.518766,267.350156
38.5,46.37,4.46,13.71,54.39,8.19,427.701344,609.665063,250.906703,513.784219,328.749219,180.394875,259.275891,290.191,354.060688
291,452.88,67.9,155.2,385.6,97,410.42075,618.785938,252.048438,496.8015,332.655781,175.366594,264.169688,292.558781,343.412406
291,450.09,67.9,155.2,390.04,97,455.81775,699.951563,277.682188,552.372188,378.9935,196.444406,300.085625,330.558031,382.998594
37.62,43.94,4.79,14.77,53.3,8.1,417.219625,659.907125,246.839078,511.586656,360.768313,175.536625,285.148375,311.675031,356.631781
30.48,36.35,4.26,11.8,43.54,4.28,304.240906,511.675531,177.012313,386.049875,266.753406,131.671266,201.762578,242.527328,270.408031
19.47,23.87,3.09,7.63,28.74,3.27,88.2167969,153.815391,52.836625,113.159734,80.8109766,39.5321406,61.3064258,73.0271328,80.0811016
6.97,9.7,1.52,3.03,10.2,1.9,9.57501172,20.1510352,6.34514209,13.6384521,9.56251758,4.58369678,7.47045508,9.43362207,9.82541699
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
